"","id","wave","w2val006b","w2rit002"
"1189","3402","b",1,2
"1190","3402","c",2,2
"1191","3403","b",1,4
"1192","3404","b",1,2
"1193","3404","c",2,2
"1194","3405","b",1,1
"1195","3405","c",1,1
"1196","3406","b",1,3
"1197","3406","c",1,2
"1198","3407","b",1,1
"1199","3407","c",1,4
"1200","3408","b",1,7
"1201","3408","c",1,2
"1202","3409","b",1,6
"1203","3410","b",1,4
"1204","3410","c",2,3
"1205","3411","b",1,3
"1206","3411","c",1,4
"1207","3412","b",1,5
"1208","3412","c",3,4
"1209","3413","b",1,5
"1210","3413","c",1,3
"1211","3414","b",1,6
"1212","3414","c",2,4
"1213","3415","b",1,6
"1214","3415","c",2,4
"1215","3416","b",1,2
"1216","3416","c",1,1
"1217","3417","b",1,1
"1218","3417","c",4,1
"1219","3418","b",1,3
"1220","3418","c",2,2
"1221","3419","b",1,6
"1222","3419","c",1,3
"1223","3420","b",1,1
"1224","3420","c",2,1
"1225","3421","b",1,2
"1226","3421","c",1,1
"1227","3422","b",1,1
"1228","3422","c",2,1
"1229","3423","b",1,2
"1230","3423","c",1,1
"1231","3424","b",1,3
"1232","3425","b",1,3
"1233","3425","c",2,3
"1234","3426","b",1,3
"1235","3426","c",1,2
"1236","3427","b",1,2
"1237","3427","c",1,2
"1238","3428","b",1,8
"1239","3429","b",1,3
"1240","3429","c",1,2
"1241","3430","b",1,4
"1242","3430","c",1,4
"1243","3431","b",1,4
"1244","3431","c",1,3
"1245","3432","b",1,3
"1246","3432","c",1,2
"1247","3433","b",1,3
"1248","3433","c",2,3
"1249","3434","b",1,3
"1250","3434","c",2,3
"1251","3435","b",1,4
"1252","3435","c",1,5
"1253","3436","b",1,2
"1254","3436","c",1,1
"1255","3437","b",1,1
"1256","3437","c",2,2
"1257","3438","b",1,3
"1258","3438","c",1,2
"1259","3439","b",1,3
"1260","3440","b",1,8
"1261","3440","c",2,2
"1262","3441","b",1,2
"1263","3441","c",2,3
"1264","3442","b",1,4
"1265","3442","c",2,4
"1266","3443","b",1,8
"1267","3443","c",3,5
"1268","3444","b",1,2
"1269","3445","b",1,7
"1270","3445","c",1,4
"1271","3446","b",1,9
"1272","3446","c",1,5
"1273","3447","b",1,3
"1274","3447","c",1,3
"1275","3448","b",1,3
"1276","3448","c",2,3
"1277","3449","b",1,3
"1278","3449","c",2,4
"1279","3450","b",1,8
"1280","3450","c",2,2
"1281","3451","b",1,2
"1282","3451","c",2,3
"1283","3452","b",1,2
"1284","3452","c",1,2
"1285","3453","b",1,3
"1286","3454","b",1,3
"1287","3454","c",1,2
"1288","3455","b",1,2
"1289","3455","c",1,3
"1290","3456","b",1,1
"1291","3456","c",2,1
"1292","3457","b",1,3
"1293","3457","c",2,2
"1294","3458","b",1,3
"1295","3458","c",2,4
"1296","3459","b",1,2
"1297","3459","c",2,5
"1298","3460","b",1,3
"1299","3460","c",2,3
"1300","3461","b",1,2
"1301","3461","c",1,2
"1302","3462","b",1,4
"1303","3462","c",1,4
"1304","3463","b",1,2
"1305","3463","c",1,2
"1306","3464","b",1,2
"1307","3464","c",1,2
"1308","3465","b",1,3
"1309","3465","c",1,2
"1310","3466","b",1,2
"1311","3467","b",1,2
"1312","3467","c",2,2
"1313","3468","b",1,4
"1314","3468","c",2,5
"1315","3469","b",1,4
"1316","3469","c",2,4
"1317","3470","b",1,4
"1318","3471","b",1,3
"1319","3471","c",1,2
"1320","3472","b",1,2
"1321","3472","c",1,2
"1322","3473","b",1,3
"1323","3473","c",1,1
"1324","3474","b",1,3
"1325","3474","c",1,2
"1326","3475","b",1,2
"1327","3476","b",1,3
"1328","3476","c",1,1
"1329","3477","b",1,2
"1330","3477","c",1,2
"1331","3478","b",1,5
"1332","3478","c",1,3
"1333","3479","b",1,2
"1334","3479","c",2,2
"1335","3480","b",1,2
"1336","3481","b",1,1
"1337","3481","c",1,1
"1338","3482","b",1,2
"1339","3482","c",2,2
"1340","3483","b",1,2
"1341","3483","c",1,2
"1342","3484","b",1,4
"1343","3484","c",2,3
"1344","3485","b",1,6
"1345","3486","b",1,4
"1346","3486","c",1,4
"1347","3487","b",1,5
"1348","3487","c",1,2
"1349","3488","b",1,8
"1350","3488","c",2,2
"1351","3489","b",1,3
"1352","3489","c",2,2
"1353","3490","b",1,4
"1354","3490","c",1,3
"1355","3491","b",1,2
"1356","3491","c",1,2
"1357","3492","b",1,3
"1358","3492","c",1,3
"1359","3493","b",1,3
"1360","3494","b",1,3
"1361","3495","b",1,3
"1362","3495","c",2,2
"1363","3496","b",1,2
"1364","3496","c",2,1
"1365","3497","b",1,3
"1366","3497","c",1,2
"1367","3498","b",1,4
"1368","3498","c",3,3
"1369","3499","b",1,2
"1370","3499","c",1,5
"1371","3500","b",1,7
"1372","3500","c",2,2
"1373","3501","b",1,1
"1374","3501","c",1,2
"1375","3502","b",1,2
"1376","3502","c",2,2
"1377","3503","b",1,2
"1378","3504","b",1,5
"1379","3505","b",1,11
"1380","3505","c",2,6
"1381","3506","b",1,5
"1382","3506","c",2,4
"1383","3507","b",1,2
"1384","3507","c",1,4
"1385","3508","b",1,4
"1386","3509","b",1,2
"1387","3510","b",1,2
"1388","3510","c",3,2
"1389","3511","b",1,4
"1390","3511","c",1,2
"1391","3512","b",1,2
"1392","3512","c",2,1
"1393","3513","b",1,2
"1394","3513","c",1,2
"1395","3514","b",1,1
"1396","3515","b",1,4
"1397","3515","c",2,3
"1398","3516","b",1,3
"1399","3516","c",1,1
"1400","3517","b",1,11
"1401","3517","c",2,7
"1402","3518","b",1,1
"1403","3518","c",2,1
"1404","3519","b",1,2
"1405","3519","c",2,2
"1406","3520","b",1,7
"1407","3521","b",1,3
"1408","3521","c",2,2
"1409","3522","b",1,3
"1410","3522","c",1,3
"1411","3523","b",1,2
"1412","3523","c",1,1
"1413","3524","b",1,6
"1414","3524","c",2,2
"1415","3525","b",1,7
"1416","3525","c",1,3
"1417","3526","b",1,2
"1418","3526","c",1,2
"1419","3527","b",1,4
"1420","3527","c",2,3
"1421","3528","b",1,3
"1422","3528","c",2,3
"1423","3529","b",1,2
"1424","3529","c",2,4
"1425","3530","b",1,1
"1426","3531","b",1,3
"1427","3532","b",1,4
"1428","3532","c",1,2
"1429","3533","b",1,3
"1430","3533","c",1,3
"1431","3534","b",1,5
"1432","3534","c",1,3
"1433","3535","b",1,2
"1434","3535","c",3,2
"1435","3536","b",1,3
"1436","3536","c",1,3
"1437","3537","b",1,3
"1438","3537","c",1,2
"1439","3538","b",1,8
"1440","3539","b",1,3
"1441","3539","c",1,2
"1442","3540","b",1,3
"1443","3540","c",2,2
"1444","3541","b",1,3
"1445","3542","b",1,2
"1446","3542","c",2,2
"1447","3543","b",1,3
"1448","3543","c",1,3
"1449","3544","b",1,4
"1450","3544","c",2,2
"1451","3545","b",1,1
"1452","3545","c",1,1
"1453","3546","b",1,5
"1454","3547","b",1,5
"1455","3547","c",1,2
"1456","3548","b",1,5
"1457","3548","c",2,3
"1458","3549","b",1,2
"1459","3549","c",2,2
"1460","3550","b",1,1
"1461","3550","c",3,2
"1462","3551","b",1,4
"1463","3551","c",2,2
"1464","3552","b",1,1
"1465","3552","c",2,2
"1466","3553","b",1,5
"1467","3553","c",1,4
"1468","3554","b",1,3
"1469","3554","c",2,2
"1470","3555","b",1,1
"1471","3555","c",1,2
"1472","3556","b",1,2
"1473","3556","c",1,2
"1474","3557","b",1,3
"1475","3557","c",3,3
"1476","3558","b",1,5
"1477","3558","c",1,2
"1478","3559","b",1,4
"1479","3559","c",2,2
"1480","3560","b",1,3
"1481","3561","b",1,9
"1482","3562","b",1,3
"1483","3563","b",1,8
"1484","3563","c",4,2
"1485","3564","b",1,2
"1486","3565","b",1,3
"1487","3565","c",2,2
"1488","3566","b",1,1
"1489","3566","c",2,3
"1490","3567","b",1,3
"1491","3567","c",1,5
"1492","3568","b",1,4
"1493","3568","c",2,3
"1494","3569","b",1,2
"1495","3569","c",1,2
"1496","3570","b",1,2
"1497","3570","c",1,2
"1498","3571","b",1,4
"1499","3571","c",2,3
"1500","3572","b",1,2
"1501","3572","c",2,1
"1502","3573","b",1,5
"1503","3573","c",3,4
"1504","3574","b",1,2
"1505","3574","c",2,1
"1506","3575","b",1,4
"1507","3575","c",1,3
"1508","3576","b",1,3
"1509","3576","c",2,3
"1510","3577","b",1,1
"1511","3577","c",2,1
"1512","3578","b",1,3
"1513","3578","c",2,3
"1514","3579","b",1,5
"1515","3579","c",1,4
"1516","3580","b",1,4
"1517","3580","c",2,3
"1518","3581","b",1,2
"1519","3581","c",2,2
"1520","3582","b",1,6
"1521","3583","b",1,3
"1522","3583","c",1,3
"1523","3584","b",1,5
"1524","3584","c",2,3
"1525","3585","b",1,7
"1526","3585","c",1,3
"1527","3586","b",1,8
"1528","3586","c",1,5
"1529","3587","b",1,2
"1530","3587","c",1,1
"1531","3588","b",1,5
"1532","3588","c",1,2
"1533","3589","b",1,2
"1534","3589","c",1,3
"1535","3590","b",1,3
"1536","3590","c",2,5
"1537","3591","b",1,1
"1538","3591","c",1,2
"1539","3592","b",1,1
"1540","3592","c",2,2
"1541","3593","b",1,3
"1542","3593","c",2,2
"1543","3594","b",1,1
"1544","3594","c",2,2
"1545","3595","b",1,7
"1546","3596","b",1,2
"1547","3596","c",1,1
"1548","3597","b",1,2
"1549","3598","b",1,2
"1550","3598","c",2,3
"1551","3599","b",1,6
"1552","3600","b",2,8
"1553","3601","b",2,4
"1554","3601","c",2,3
"1555","3602","b",2,4
"1556","3602","c",3,3
"1557","3603","b",2,4
"1558","3604","b",2,4
"1559","3604","c",2,2
"1560","3605","b",2,1
"1561","3606","b",2,1
"1562","3606","c",2,2
"1563","3607","b",2,2
"1564","3607","c",1,1
"1565","3608","b",2,3
"1566","3608","c",1,3
"1567","3609","b",2,2
"1568","3609","c",1,3
"1569","3610","b",2,3
"1570","3610","c",2,1
"1571","3611","b",2,4
"1572","3611","c",2,3
"1573","3612","b",2,4
"1574","3612","c",2,4
"1575","3613","b",2,1
"1576","3614","b",2,2
"1577","3614","c",2,1
"1578","3615","b",2,3
"1579","3615","c",1,3
"1580","3616","b",2,1
"1581","3616","c",1,1
"1582","3617","b",2,3
"1583","3617","c",4,3
"1584","3618","b",2,4
"1585","3618","c",2,3
"1586","3619","b",2,7
"1587","3619","c",2,7
"1588","3620","b",2,1
"1589","3621","b",2,3
"1590","3621","c",2,2
"1591","3622","b",2,8
"1592","3622","c",1,3
"1593","3623","b",2,4
"1594","3623","c",2,2
"1595","3624","b",2,7
"1596","3624","c",3,4
"1597","3625","b",2,5
"1598","3625","c",1,2
"1599","3626","b",2,4
"1600","3626","c",2,3
"1601","3627","b",2,3
"1602","3628","b",2,4
"1603","3628","c",2,2
"1604","3629","b",2,3
"1605","3629","c",1,1
"1606","3630","b",2,1
"1607","3630","c",2,2
"1608","3631","b",2,4
"1609","3631","c",2,3
"1610","3632","b",2,2
"1611","3632","c",2,2
"1612","3633","b",2,1
"1613","3633","c",2,3
"1614","3634","b",2,3
"1615","3634","c",2,2
"1616","3635","b",2,1
"1617","3636","b",2,3
"1618","3636","c",2,3
"1619","3637","b",2,9
"1620","3637","c",1,2
"1621","3638","b",2,7
"1622","3638","c",4,3
"1623","3639","b",2,4
"1624","3639","c",2,2
"1625","3640","b",2,3
"1626","3640","c",2,3
"1627","3641","b",2,3
"1628","3642","b",2,2
"1629","3643","b",2,7
"1630","3643","c",2,3
"1631","3644","b",2,2
"1632","3644","c",2,2
"1633","3645","b",2,7
"1634","3645","c",1,6
"1635","3646","b",2,7
"1636","3647","b",2,1
"1637","3648","b",2,3
"1638","3648","c",1,2
"1639","3649","b",2,2
"1640","3649","c",3,2
"1641","3650","b",2,4
"1642","3650","c",1,2
"1643","3651","b",2,2
"1644","3651","c",1,2
"1645","3652","b",2,1
"1646","3652","c",2,1
"1647","3653","b",2,2
"1648","3653","c",2,2
"1649","3654","b",2,1
"1650","3654","c",1,2
"1651","3655","b",2,2
"1652","3655","c",2,2
"1653","3656","b",2,4
"1654","3657","b",2,7
"1655","3657","c",1,4
"1656","3658","b",2,6
"1657","3659","b",2,2
"1658","3659","c",2,2
"1659","3660","b",2,4
"1660","3660","c",3,3
"1661","3661","b",2,3
"1662","3661","c",2,3
"1663","3662","b",2,11
"1664","3662","c",3,7
"1665","3663","b",2,2
"1666","3663","c",1,2
"1667","3664","b",2,1
"1668","3664","c",2,2
"1669","3665","b",2,3
"1670","3665","c",1,2
"1671","3666","b",2,4
"1672","3666","c",2,3
"1673","3667","b",2,3
"1674","3667","c",1,2
"1675","3668","b",2,7
"1676","3668","c",1,4
"1677","3669","b",2,3
"1678","3669","c",2,3
"1679","3670","b",2,4
"1680","3670","c",2,3
"1681","3671","b",2,5
"1682","3672","b",2,3
"1683","3672","c",2,3
"1684","3673","b",2,1
"1685","3673","c",1,1
"1686","3674","b",2,2
"1687","3674","c",2,1
"1688","3675","b",2,4
"1689","3675","c",2,3
"1690","3676","b",2,2
"1691","3677","b",2,8
"1692","3677","c",2,5
"1693","3678","b",2,1
"1694","3678","c",2,2
"1695","3679","b",2,3
"1696","3679","c",2,3
"1697","3680","b",2,2
"1698","3680","c",2,2
"1699","3682","b",2,8
"1700","3682","c",2,5
"1701","3683","b",2,3
"1702","3683","c",2,2
"1703","3684","b",2,1
"1704","3684","c",2,2
"1705","3685","b",2,2
"1706","3685","c",2,2
"1707","3686","b",2,1
"1708","3686","c",2,4
"1709","3687","b",2,2
"1710","3687","c",2,3
"1711","3688","b",2,4
"1712","3688","c",2,3
"1713","3689","b",2,4
"1714","3690","b",2,3
"1715","3690","c",2,3
"1716","3691","b",2,4
"1717","3691","c",2,2
"1718","3692","b",2,3
"1719","3692","c",2,3
"1720","3693","b",2,2
"1721","3693","c",2,2
"1722","3694","b",2,2
"1723","3694","c",3,2
"1724","3695","b",2,4
"1725","3695","c",2,1
"1726","3696","b",2,4
"1727","3696","c",1,1
"1728","3697","b",2,5
"1729","3698","b",2,6
"1730","3698","c",2,2
"1731","3699","b",2,2
"1732","3699","c",2,2
"1733","3700","b",2,1
"1734","3700","c",2,1
"1735","3701","b",2,2
"1736","3701","c",2,2
"1737","3702","b",2,5
"1738","3703","b",2,2
"1739","3703","c",2,1
"1740","3704","b",2,2
"1741","3704","c",2,2
"1742","3705","b",2,2
"1743","3705","c",2,3
"1744","3706","b",2,3
"1745","3706","c",2,2
"1746","3707","b",2,3
"1747","3707","c",2,2
"1748","3708","b",2,2
"1749","3709","b",2,5
"1750","3710","b",2,2
"1751","3710","c",1,2
"1752","3711","b",2,2
"1753","3712","b",2,1
"1754","3712","c",1,2
"1755","3713","b",2,2
"1756","3714","b",2,2
"1757","3714","c",2,2
"1758","3715","b",2,2
"1759","3716","b",2,4
"1760","3716","c",2,5
"1761","3717","b",2,3
"1762","3717","c",2,4
"1763","3718","b",2,4
"1764","3718","c",4,2
"1765","3719","b",2,2
"1766","3719","c",2,1
"1767","3720","b",2,4
"1768","3720","c",3,2
"1769","3721","b",2,7
"1770","3721","c",2,5
"1771","3722","b",2,3
"1772","3722","c",2,2
"1773","3723","b",2,3
"1774","3723","c",2,3
"1775","3724","b",2,1
"1776","3724","c",2,1
"1777","3725","b",2,3
"1778","3725","c",1,3
"1779","3726","b",2,11
"1780","3726","c",2,3
"1781","3727","b",2,2
"1782","3727","c",4,2
"1783","3728","b",2,2
"1784","3728","c",2,1
"1785","3729","b",2,2
"1786","3729","c",2,2
"1787","3730","b",2,4
"1788","3730","c",2,4
"1789","3731","b",2,3
"1790","3731","c",3,2
"1791","3732","b",2,4
"1792","3732","c",3,3
"1793","3733","b",2,2
"1794","3734","b",2,2
"1795","3734","c",3,2
"1796","3735","b",2,6
"1797","3735","c",2,5
"1798","3736","b",2,4
"1799","3737","b",2,4
"1800","3737","c",1,2
"1801","3738","b",2,8
"1802","3738","c",2,3
"1803","3739","b",2,4
"1804","3739","c",1,3
"1805","3740","b",2,4
"1806","3740","c",3,2
"1807","3741","b",2,6
"1808","3741","c",2,3
"1809","3742","b",2,4
"1810","3742","c",3,2
"1811","3743","b",2,5
"1812","3743","c",2,3
"1813","3744","b",2,8
"1814","3744","c",2,2
"1815","3745","b",2,3
"1816","3745","c",2,2
"1817","3746","b",2,3
"1818","3746","c",2,3
"1819","3747","b",2,5
"1820","3747","c",2,4
"1821","3748","b",2,6
"1822","3749","b",2,3
"1823","3750","b",2,2
"1824","3750","c",2,2
"1825","3751","b",2,3
"1826","3751","c",2,1
"1827","3752","b",2,2
"1828","3752","c",1,2
"1829","3753","b",2,2
"1830","3753","c",2,2
"1831","3754","b",2,2
"1832","3754","c",3,3
"1833","3755","b",2,8
"1834","3755","c",1,3
"1835","3756","b",2,2
"1836","3756","c",1,2
"1837","3757","b",2,1
"1838","3757","c",2,5
"1839","3758","b",2,4
"1840","3758","c",1,2
"1841","3759","b",2,3
"1842","3760","b",2,4
"1843","3761","b",2,4
"1844","3761","c",2,4
"1845","3762","b",2,4
"1846","3762","c",2,3
"1847","3763","b",2,11
"1848","3764","b",2,3
"1849","3764","c",3,2
"1850","3765","b",2,4
"1851","3765","c",2,3
"1852","3766","b",2,3
"1853","3766","c",2,3
"1854","3767","b",2,8
"1855","3767","c",2,4
"1856","3768","b",2,3
"1857","3768","c",2,3
"1858","3769","b",2,5
"1859","3769","c",2,4
"1860","3770","b",2,1
"1861","3770","c",1,1
"1862","3771","b",2,4
"1863","3771","c",2,2
"1864","3772","b",2,8
"1865","3772","c",1,3
"1866","3773","b",2,1
"1867","3774","b",2,3
"1868","3774","c",2,3
"1869","3775","b",2,4
"1870","3776","b",2,2
"1871","3777","b",2,2
"1872","3777","c",3,1
"1873","3778","b",2,3
"1874","3778","c",2,1
"1875","3779","b",2,2
"1876","3779","c",2,1
"1877","3780","b",2,3
"1878","3780","c",3,2
"1879","3781","b",2,2
"1880","3781","c",1,2
"1881","3782","b",2,7
"1882","3782","c",4,3
"1883","3783","b",2,2
"1884","3783","c",4,2
"1885","3784","b",2,4
"1886","3784","c",2,4
"1887","3785","b",2,2
"1888","3785","c",2,1
"1889","3786","b",2,4
"1890","3786","c",2,3
"1891","3787","b",2,3
"1892","3787","c",2,2
"1893","3788","b",2,3
"1894","3788","c",3,6
"1895","3789","b",2,2
"1896","3789","c",2,2
"1897","3790","b",2,3
"1898","3791","b",2,3
"1899","3792","b",2,5
"1900","3792","c",2,5
"1901","3793","b",2,3
"1902","3793","c",1,2
"1903","3794","b",2,5
"1904","3794","c",2,1
"1905","3795","b",2,2
"1906","3795","c",2,3
"1907","3796","b",2,2
"1908","3797","b",2,2
"1909","3797","c",2,3
"1910","3798","b",2,1
"1911","3798","c",2,2
"1912","3799","b",2,2
"1913","3799","c",3,2
"1914","3800","b",2,2
"1915","3800","c",2,2
"1916","3801","b",2,3
"1917","3801","c",2,2
"1918","3802","b",2,7
"1919","3802","c",2,5
"1920","3803","b",2,7
"1921","3803","c",2,3
"1922","3804","b",2,2
"1923","3804","c",3,2
"1924","3805","b",2,4
"1925","3805","c",2,2
"1926","3806","b",2,4
"1927","3806","c",2,3
"1928","3807","b",2,5
"1929","3807","c",3,3
"1930","3808","b",2,4
"1931","3809","b",2,3
"1932","3809","c",2,2
"1933","3810","b",2,1
"1934","3810","c",3,1
"1935","3811","b",2,3
"1936","3811","c",4,4
"1937","3812","b",2,1
"1938","3812","c",3,2
"1939","3813","b",2,4
"1940","3813","c",1,5
"1941","3814","b",2,8
"1942","3814","c",2,6
"1943","3815","b",2,2
"1944","3815","c",2,2
"1945","3816","b",2,5
"1946","3816","c",2,3
"1947","3817","b",2,2
"1948","3817","c",1,2
"1949","3818","b",2,4
"1950","3818","c",1,6
"1951","3819","b",2,6
"1952","3819","c",2,4
"1953","3820","b",2,9
"1954","3820","c",2,3
"1955","3821","b",2,1
"1956","3821","c",3,2
"1957","3822","b",2,3
"1958","3822","c",2,2
"1959","3823","b",2,2
"1960","3824","b",2,4
"1961","3825","b",2,7
"1962","3825","c",3,3
"1963","3826","b",2,2
"1964","3826","c",1,2
"1965","3827","b",2,5
"1966","3827","c",1,4
"1967","3828","b",2,1
"1968","3828","c",2,1
"1969","3829","b",2,2
"1970","3829","c",2,2
"1971","3830","b",2,3
"1972","3830","c",3,2
"1973","3831","b",2,1
"1974","3831","c",2,1
"1975","3832","b",2,3
"1976","3833","b",2,7
"1977","3834","b",2,2
"1978","3834","c",2,3
"1979","3835","b",2,4
"1980","3836","b",2,3
"1981","3836","c",2,5
"1982","3837","b",2,8
"1983","3838","b",2,2
"1984","3839","b",2,2
"1985","3839","c",2,1
"1986","3840","b",2,3
"1987","3840","c",2,2
"1988","3841","b",2,3
"1989","3841","c",3,2
"1990","3842","b",2,2
"1991","3842","c",2,2
"1992","3843","b",2,2
"1993","3844","b",2,2
"1994","3844","c",2,5
"1995","3845","b",2,3
"1996","3846","b",2,3
"1997","3847","b",2,6
"1998","3847","c",2,4
"1999","3848","b",2,4
"2000","3849","b",2,2
"2001","3850","b",2,6
"2002","3851","b",2,3
"2003","3851","c",2,2
"2004","3852","b",2,5
"2005","3853","b",2,4
"2006","3854","b",2,3
"2007","3854","c",1,3
"2008","3855","b",2,2
"2009","3855","c",2,3
"2010","3856","b",2,4
"2011","3857","b",2,4
"2012","3857","c",2,3
"2013","3858","b",2,2
"2014","3859","b",2,7
"2015","3859","c",2,5
"2016","3860","b",2,1
"2017","3860","c",3,3
"2018","3861","b",2,1
"2019","3861","c",2,1
"2020","3862","b",2,3
"2021","3862","c",2,3
"2022","3863","b",2,3
"2023","3863","c",2,2
"2024","3864","b",2,2
"2025","3864","c",1,2
"2026","3865","b",2,4
"2027","3865","c",2,2
"2028","3866","b",2,3
"2029","3867","b",2,3
"2030","3867","c",3,2
"2031","3868","b",2,3
"2032","3869","b",2,4
"2033","3869","c",2,3
"2034","3870","b",2,2
"2035","3870","c",1,2
"2036","3871","b",2,3
"2037","3871","c",2,2
"2038","3872","b",2,7
"2039","3872","c",2,3
"2040","3873","b",2,3
"2041","3873","c",2,2
"2042","3874","b",2,2
"2043","3874","c",2,4
"2044","3875","b",2,7
"2045","3875","c",2,6
"2046","3876","b",2,3
"2047","3876","c",1,4
"2048","3877","b",2,3
"2049","3877","c",3,2
"2050","3878","b",2,3
"2051","3878","c",2,1
"2052","3879","b",2,7
"2053","3879","c",2,4
"2054","3880","b",2,6
"2055","3880","c",2,4
"2056","3881","b",3,5
"2057","3881","c",2,2
"2058","3882","b",3,5
"2059","3882","c",2,5
"2060","3883","b",3,3
"2061","3883","c",2,3
"2062","3884","b",3,1
"2063","3885","b",3,3
"2064","3885","c",3,2
"2065","3886","b",3,9
"2066","3886","c",3,3
"2067","3887","b",3,5
"2068","3888","b",3,4
"2069","3888","c",3,4
"2070","3889","b",3,2
"2071","3890","b",3,4
"2072","3890","c",2,2
"2073","3891","b",3,7
"2074","3891","c",3,4
"2075","3892","b",3,3
"2076","3892","c",3,3
"2077","3893","b",3,5
"2078","3893","c",4,4
"2079","3894","b",3,4
"2080","3895","b",3,3
"2081","3895","c",4,2
"2082","3896","b",3,3
"2083","3896","c",2,1
"2084","3897","b",3,6
"2085","3897","c",2,4
"2086","3898","b",3,3
"2087","3898","c",3,4
"2088","3899","b",3,11
"2089","3900","b",3,1
"2090","3900","c",2,1
"2091","3901","b",3,4
"2092","3901","c",1,2
"2093","3902","b",3,7
"2094","3902","c",2,2
"2095","3903","b",3,5
"2096","3903","c",1,3
"2097","3904","b",3,2
"2098","3904","c",3,3
"2099","3905","b",3,2
"2100","3906","b",3,2
"2101","3906","c",4,2
"2102","3907","b",3,2
"2103","3907","c",2,1
"2104","3908","b",3,2
"2105","3908","c",2,3
"2106","3909","b",3,3
"2107","3909","c",1,2
"2108","3910","b",3,5
"2109","3910","c",2,5
"2110","3911","b",3,6
"2111","3911","c",3,4
"2112","3912","b",3,7
"2113","3912","c",3,2
"2114","3913","b",3,5
"2115","3914","b",3,6
"2116","3914","c",2,4
"2117","3915","b",3,3
"2118","3915","c",2,3
"2119","3916","b",3,3
"2120","3916","c",2,2
"2121","3917","b",3,4
"2122","3917","c",3,3
"2123","3918","b",3,5
"2124","3918","c",3,3
"2125","3919","b",3,5
"2126","3919","c",4,3
"2127","3920","b",3,1
"2128","3920","c",2,1
"2129","3921","b",3,2
"2130","3921","c",1,2
"2131","3922","b",3,2
"2132","3923","b",3,3
"2133","3923","c",4,3
"2134","3924","b",3,3
"2135","3924","c",2,2
"2136","3925","b",3,7
"2137","3926","b",3,3
"2138","3926","c",3,2
"2139","3927","b",3,6
"2140","3927","c",2,4
"2141","3928","b",3,5
"2142","3928","c",2,4
"2143","3929","b",3,4
"2144","3929","c",2,3
"2145","3930","b",3,5
"2146","3930","c",3,2
"2147","3931","b",3,2
"2148","3931","c",2,1
"2149","3932","b",3,2
"2150","3933","b",3,5
"2151","3933","c",3,4
"2152","3934","b",3,4
"2153","3935","b",3,3
"2154","3935","c",3,2
"2155","3936","b",3,6
"2156","3936","c",3,4
"2157","3937","b",3,2
"2158","3938","b",3,4
"2159","3938","c",4,6
"2160","3939","b",3,1
"2161","3939","c",4,2
"2162","3940","b",3,3
"2163","3940","c",2,2
"2164","3941","b",3,2
"2165","3941","c",3,3
"2166","3942","b",3,1
"2167","3942","c",3,1
"2168","3943","b",3,2
"2169","3943","c",3,2
"2170","3944","b",3,4
"2171","3945","b",4,3
"2172","3945","c",2,3
"2173","3946","b",4,8
"2174","3946","c",4,4
"2175","3947","b",4,11
"2176","3947","c",4,3
"2177","3948","b",4,5
"2178","3948","c",3,5
"2179","3949","b",4,4
"2180","3949","c",1,4
"2181","3950","b",4,5
"2182","3950","c",2,3
"2183","3951","b",4,2
"2184","3952","b",4,2
"2185","3952","c",4,2
"2186","3953","b",4,5
"2187","3953","c",3,5
"2188","3954","b",4,4
"2189","3954","c",3,4
"2190","3955","b",4,1
"2191","3956","b",4,2
"2192","3956","c",4,2
"2193","3957","b",4,11
"2194","3958","b",4,3
"2195","3958","c",2,2
"2196","3959","b",4,4
"2197","3960","b",5,4
"2198","3960","c",2,4
"2199","3961","b",5,3
"2200","3961","c",5,3
"2201","3962","c",3,3
"2202","3963","c",2,1
"2203","3965","c",2,2
"2204","3966","c",4,4
"2205","3967","c",3,6
"2206","3968","c",4,2
"2207","3969","c",2,3
"2208","3970","c",4,4
"2209","3971","c",1,2
"2210","3974","c",2,3
"2211","3977","c",4,4
"2212","3978","c",2,3
"2213","3979","c",2,3
"2214","3980","c",4,2
"2215","3983","c",2,4
"2216","3984","c",2,4
"2217","3985","c",2,3
"2218","3986","c",2,2
"2219","3987","c",2,2
"2220","3990","c",1,2
"2221","3991","c",3,2
"2222","3992","c",3,2
"2223","3993","c",3,2
"2224","3994","c",4,3
"2225","3995","c",2,2
"2226","3997","c",2,2
"2227","3998","b",1,5
"2228","3998","c",1,3
"2229","3999","b",1,5
"2230","4000","b",1,3
"2231","4000","c",1,3
"2232","4001","b",1,2
"2233","4001","c",1,2
"2234","4002","b",1,7
"2235","4002","c",2,3
"2236","4003","b",1,5
"2237","4003","c",4,5
"2238","4004","b",1,4
"2239","4004","c",4,3
"2240","4005","b",1,4
"2241","4005","c",2,1
"2242","4006","b",1,3
"2243","4006","c",1,3
"2244","4007","b",1,2
"2245","4007","c",2,2
"2246","4008","b",1,4
"2247","4008","c",1,2
"2248","4009","b",1,6
"2249","4009","c",2,4
"2250","4010","b",1,4
"2251","4010","c",2,3
"2252","4011","b",1,2
"2253","4011","c",1,2
"2254","4012","b",1,2
"2255","4012","c",1,2
"2256","4013","b",1,6
"2257","4013","c",2,6
"2258","4014","b",1,5
"2259","4014","c",1,4
"2260","4015","b",1,7
"2261","4015","c",3,4
"2262","4016","b",1,5
"2263","4016","c",2,5
